date,amount,category,description
2024-01-01,120,Food,Groceries
2024-01-03,80,Transport,Uber
2024-01-05,150,Food,Restaurant
2024-01-07,900,Rent,Monthly rent
2024-01-10,60,Entertainment,Netflix
2024-01-12,220,Utilities,Electricity
2024-01-14,340,Shopping,Clothes
2024-02-01,110,Food,Groceries
2024-02-03,90,Transport,Taxi
2024-02-05,900,Rent,Monthly rent
2024-02-10,70,Entertainment,Spotify
2024-02-12,240,Utilities,Water
2024-03-01,130,Food,Groceries
2024-03-05,100,Transport,Bolt
2024-03-07,900,Rent,Monthly rent
